score	address	name	body_bytes	evidence	reviewed	compat_modeled	default_name	product_string_count	business_neighbor_count	callers	callees	example_string	file
182	103c688c	dt_stream_send_packet_to_pool	494	product_name,focus_export,semantic_review	1	0	0	0	1	1	10		functions/103c688c_dt_stream_send_packet_to_pool.c
181	1030e234	lnv_wifi_connect_main	160	product_name,focus_export,semantic_review	1	0	0	0	1	0	6		functions/1030e234_lnv_wifi_connect_main.c
181	103d42d4	generate_filename	114	product_string,focus_export,semantic_review	1	0	0	1	3	1	4	/emmc/audio	functions/103d42d4_generate_filename.c
181	103dae20	dt_audio_schedule_on_recording_stop	344	product_name,product_string,semantic_review	1	0	0	2	8	1	11	[schedule] on_recording_stop called with is_schedule_triggered=true, but no schedule recording active\n	functions/103dae20_dt_audio_schedule_on_recording_stop.c
181	103e02c8	dt_display_test_ui_states	172	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	1	1	4		functions/103e02c8_dt_display_test_ui_states.c
181	103e516c	dt_tcp_server_thread	244	product_name,focus_export,semantic_review	1	0	0	0	1	0	10		functions/103e516c_dt_tcp_server_thread.c
180	103c5276	dt_light_ui	108	product_name,focus_export,semantic_review	1	0	0	0	1	0	4		functions/103c5276_dt_light_ui.c
180	103dafce	dt_ble_async	108	product_name,focus_export,semantic_review	1	0	0	0	1	0	4		functions/103dafce_dt_ble_async.c
180	103dd6b4	dt_display_stop_recording_timer	70	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	1	1	2		functions/103dd6b4_dt_display_stop_recording_timer.c
180	103dd714	dt_display_pause_recording_timer	66	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	1	1	2		functions/103dd714_dt_display_pause_recording_timer.c
179	1030e2ec	lnv_wifi_disconnect_main	32	product_name,focus_export,semantic_review	1	0	0	0	1	0	2		functions/1030e2ec_lnv_wifi_disconnect_main.c
179	103dd654	dt_display_start_recording_timer	62	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	1	1	3		functions/103dd654_dt_display_start_recording_timer.c
179	103dd76c	dt_display_resume_recording_timer	52	product_name,focus_export,semantic_review,compat_trace	1	1	0	0	1	1	2		functions/103dd76c_dt_display_resume_recording_timer.c
179	103e2ecc	dt_hid_disconnect_callback	38	product_name,focus_export,semantic_review	1	0	0	0	1	0	2		functions/103e2ecc_dt_hid_disconnect_callback.c
178	103e28e8	dt_hid_connect_callback	18	product_name,focus_export,semantic_review	1	0	0	0	1	0	1		functions/103e28e8_dt_hid_connect_callback.c
177	103e1a78	private_task_func_file_delete	102	product_string,focus_export,semantic_review	1	0	0	1	2	0	5	/emmc/audio	functions/103e1a78_private_task_func_file_delete.c
176	103eb574	lnv_webserver_task_run	88	product_name,focus_export	0	0	0	0	0	0	5		functions/103eb574_lnv_webserver_task_run.c
173	103d6a78	dt_audio	330	product_name,product_string,semantic_review	1	0	0	1	8	0	14	remark at recording duration: %d\n	functions/103d6a78_dt_audio.c
167	1030d534	FUN_1030d534	16	product_string,focus_export	0	0	1	1	0	0	1	===@-@ Lenovo DTIOT OS HAL Test Application ===\r\n	functions/1030d534_FUN_1030d534.c
167	103cf7dc	dtiot_device_notify_bind_status	70	product_name,product_string,semantic_review	1	0	0	4	1	0	1	dtiot_device, dtiot_device_notify_bind_status.\n	functions/103cf7dc_dtiot_device_notify_bind_status.c
164	103e6bd8	dtiot_hal_audio_set_algo_mode	236	product_name,product_string,semantic_review	1	0	0	3	2	1	3	[AUDIO_HAL] Set to KEY mode (voice memo - 5 mics only)	functions/103e6bd8_dtiot_hal_audio_set_algo_mode.c
160	103d48e0	dt_audio_get_current_audio_header	166	product_name,product_string,semantic_review	1	0	0	2	3	2	3	persist.dt.aud.aes	functions/103d48e0_dt_audio_get_current_audio_header.c
159	103c857c	dtiot_data_read	68	product_name,product_string,semantic_review	1	0	0	1	5	6	3	dtiot_data_read	functions/103c857c_dtiot_data_read.c
156	103cfbf4	dtiot_device_module_new	188	product_name,product_string,semantic_review	1	0	0	2	2	1	3	dtiot_device, success.\n	functions/103cfbf4_dtiot_device_module_new.c
155	103e287c	dt_file_trans_delete_oldest_audio_file	90	product_name,product_string,semantic_review	1	0	0	1	4	2	5	/emmc/audio	functions/103e287c_dt_file_trans_delete_oldest_audio_file.c
153	103d44fc	dt_audio_init	490	product_name,product_string,semantic_review	1	0	0	1	3	1	19	[AUDIO] Failed to initialize voice memo mutex\n	functions/103d44fc_dt_audio_init.c
153	103e1df4	dt_file_trans_update_sync_info	420	product_name,product_string,semantic_review	1	0	0	1	3	1	9	/emmc/audio	functions/103e1df4_dt_file_trans_update_sync_info.c
152	103ebdd4	dtiot_wifi_ap_destroy	140	product_name,product_string,semantic_review	1	0	0	1	3	3	7	dtiot_wifi_ap_destroy	functions/103ebdd4_dtiot_wifi_ap_destroy.c
151	103c85cc	dtiot_os_hal_get_storage_info	96	product_name,product_string,semantic_review,compat_trace	1	1	0	1	3	2	2	dtiot_os_hal_get_storage_info	functions/103c85cc_dtiot_os_hal_get_storage_info.c
