offsets	literal	sources
0x0026d3bc	SCHED_FIFO	fs/procfs/fs_procfsproc.c
0x0026d3c7	SCHED_SPORADIC	fs/procfs/fs_procfsproc.c
0x0026e6c9	Saturday	libs/libc/locale/lib_langinfo.c|libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0026d26c,0x00293207	Scheduler:	fs/procfs/fs_procfsproc.c
0x0027b15d	Sent       	net/procfs/net_statistics.c
0x0026e649	September	libs/libc/locale/lib_langinfo.c|libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0026d277,0x002931fe	SigMask:	fs/procfs/fs_procfsproc.c
0x0026d2bb	StackAlloc:	fs/procfs/fs_procfsproc.c
0x0026d2d0	StackBase:	fs/procfs/fs_procfsproc.c
0x0026d2db,0x002931f3	StackSize:	fs/procfs/fs_procfsproc.c
0x0026d2f0,0x002931e8	StackUsed:	fs/procfs/fs_procfsproc.c
0x0026e6b9	Thursday	libs/libc/locale/lib_langinfo.c|libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0026e912	Total Blks	mm/mm_heap/mm_memdump.c|mm/tlsf/mm_tlsf.c
0x0026e907	Total Size	mm/mm_heap/mm_memdump.c|mm/tlsf/mm_tlsf.c
0x0026e7aa	Unknown address	libs/libc/netdb/lib_dnsquery.c
0x0026a521	Unknown error	libs/libc/netdb/lib_gaistrerror.c|libs/libc/string/lib_strerror.c
0x0026d77a	Unrecognized	fs/mount/fs_gettype.c|tools/noteinfo.c
0x0026dfd1	Waiting,MQ empty	sched/sched/sched_get_stateinfo.c
0x0026dfe2	Waiting,MQ full	sched/sched/sched_get_stateinfo.c
0x0026df79	Waiting,Mutex:%d	sched/sched/sched_get_stateinfo.c
0x0026dfb0	Waiting,Semaphore	sched/sched/sched_get_stateinfo.c
0x0026dfc2	Waiting,Signal	sched/sched/sched_get_stateinfo.c
0x0026df8a	Waiting,Unlock	sched/sched/sched_get_stateinfo.c
0x0026e6af	Wednesday	libs/libc/locale/lib_langinfo.c|libs/libc/time/lib_strftime.c|libs/libc/time/lib_strptime.c
0x0026ce4d	[0-9]*/**	fs/procfs/fs_procfs.c
0x0026a473	aAfFeEgG	libs/libc/stdio/lib_libvscanf.c
0x00253de1	channels	drivers/analog/ads7828.c|drivers/analog/max1161x.c
0x00281f37,0x002820ef,0x00282485,0x00282579,0x002826c8,0x002829c7	disconnect	arch/sim/src/sim/sim_wifidriver.c|drivers/video/goldfish_camera.c|wireless/bluetooth/bt_conn.c
0x0026eb68	fastmult	arch/arm/src/common/hwcap.h
0x0026cfbb	free: dump all free node	fs/procfs/fs_procfsmeminfo.c
0x0026d462	fspath1=	fs/unionfs/fs_unionfs.c
0x0026d474	fspath2=	fs/unionfs/fs_unionfs.c
0x0026d39b	group/env	fs/procfs/fs_procfsproc.c
